"","f.value","p.value","-log10(p)","FDR","Fisher's LSD"
"616.9831 / 10.50  M3H3",7.9394,0.0086197,2.0645,0.018541,"Infected - Control"
"711.3055 / 17.21  M",7.9369,0.0086289,2.064,0.018558,"Infected - Control"
"468.3171 / 7.58",7.9324,0.0086456,2.0632,0.01859,"Infected - Control"
"160.1332 / 1.59",7.932,0.0086471,2.0631,0.018591,"Control - Infected"
"227.0785 / 4.28  MH",7.9296,0.0086562,2.0627,0.018604,"Control - Infected"
"221.1219 / 4.83",7.9295,0.0086563,2.0627,0.018604,"Control - Infected"
"147.0450 / 10.64  M-H2O-H-",7.9283,0.008661,2.0624,0.018611,"Infected - Control"
"381.1034 / 14.11  2MNa-2H-",7.9227,0.0086821,2.0614,0.018653,"Control - Infected"
"686.3984 / 16.91",7.9214,0.008687,2.0611,0.018661,"Infected - Control"
"360.3238 / 24.04  MH",7.9209,0.0086886,2.0611,0.018661,"Infected - Control"
"396.8684 / 3.50",7.919,0.0086958,2.0607,0.018673,"Infected - Control"
"360.2144 / 4.45",7.9187,0.008697,2.0606,0.018673,"Infected - Control"
"300.1925 / 6.74",7.9083,0.0087363,2.0587,0.018754,"Infected - Control"
"208.1146 / 10.42",7.905,0.0087486,2.0581,0.018777,"Control - Infected"
"467.1264 / 20.43",7.9006,0.0087654,2.0572,0.01881,"Infected - Control"
"687.2983 / 20.55",7.8931,0.0087936,2.0558,0.018868,"Infected - Control"
"352.1320 / 6.26",7.8905,0.0088038,2.0553,0.018886,"Infected - Control"
"437.2884 / 24.30",7.8883,0.0088122,2.0549,0.018901,"Control - Infected"
"521.3196 / 16.66  MCH3OHH",7.8799,0.0088441,2.0533,0.018966,"Infected - Control"
"511.2195 / 17.74",7.8773,0.0088543,2.0528,0.018985,"Infected - Control"
"302.1966 / 4.03",7.8761,0.0088589,2.0526,0.018992,"Infected - Control"
"566.2321 / 7.35  MNa-2H-",7.8747,0.0088643,2.0524,0.019,"Infected - Control"
"843.0170 / 1.33",7.8739,0.008867,2.0522,0.019002,"Control - Infected"
"262.9802 / 29.09",7.8737,0.008868,2.0522,0.019002,"Control - Infected"
"324.0201 / 21.91",7.8733,0.0088696,2.0521,0.019002,"Infected - Control"
"578.3074 / 16.80",7.864,0.0089053,2.0504,0.019075,"Infected - Control"
"462.9890 / 10.50  M4H4",7.8628,0.00891,2.0501,0.019082,"Infected - Control"
"731.2996 / 7.63",7.8577,0.0089296,2.0492,0.019121,"Infected - Control"
"746.3319 / 7.29",7.8532,0.008947,2.0483,0.019152,"Infected - Control"
"185.1290 / 10.40  MH",7.8531,0.0089473,2.0483,0.019152,"Control - Infected"
"953.4354 / 20.46  2MNa-2H-",7.8509,0.0089559,2.0479,0.019167,"Infected - Control"
"475.7524 / 15.92",7.8496,0.0089608,2.0477,0.019175,"Infected - Control"
"403.8919 / 11.29  M3H3",7.845,0.0089787,2.0468,0.01921,"Infected - Control"
"925.4141 / 16.59  2MH",7.8435,0.0089846,2.0465,0.019219,"Infected - Control"
"817.2980 / 11.26",7.8432,0.0089859,2.0464,0.019219,"Infected - Control"
"625.6145 / 17.63  M3H3",7.8403,0.0089971,2.0459,0.01924,"Infected - Control"
"594.2897 / 13.96",7.8321,0.0090293,2.0443,0.019305,"Infected - Control"
"371.0975 / 12.38  M-H-",7.8299,0.0090379,2.0439,0.019319,"Control - Infected"
"124.0153 / 2.84",7.8296,0.0090389,2.0439,0.019319,"Control - Infected"
"550.2931 / 17.74  M-2H2-",7.8274,0.0090475,2.0435,0.019334,"Infected - Control"
"925.0198 / 1.33  M",7.8243,0.0090597,2.0429,0.019357,"Control - Infected"
"630.2702 / 5.42",7.8238,0.0090619,2.0428,0.019359,"Infected - Control"
"554.2721 / 3.49  MNa",7.8216,0.0090703,2.0424,0.019373,"Infected - Control"
"525.3017 / 9.31",7.8207,0.0090741,2.0422,0.019378,"Infected - Control"
"394.1602 / 5.86  M-H-",7.8183,0.0090833,2.0418,0.019395,"Infected - Control"
"561.7839 / 18.32",7.8176,0.0090862,2.0416,0.019398,"Infected - Control"
"150.0773 / 1.80",7.8124,0.0091069,2.0406,0.019438,"Control - Infected"
"732.3289 / 11.80  MNa-2H-",7.812,0.0091083,2.0406,0.019438,"Infected - Control"
"730.0827 / 18.02  M3H3",7.8094,0.0091185,2.0401,0.019457,"Infected - Control"
"724.3496 / 7.29  MNa-2H-",7.8055,0.0091342,2.0393,0.019487,"Infected - Control"
"635.8044 / 18.32",7.8044,0.0091382,2.0391,0.01949,"Infected - Control"
"959.4225 / 13.10",7.8044,0.0091384,2.0391,0.01949,"Infected - Control"
"706.4034 / 17.77",7.8018,0.0091488,2.0386,0.019508,"Infected - Control"
"420.9599 / 24.44",7.7973,0.0091666,2.0378,0.019543,"Infected - Control"
"509.7711 / 17.87  MHNa2",7.7927,0.0091851,2.0369,0.019579,"Infected - Control"
"222.0307 / 2.73",7.7914,0.0091901,2.0367,0.019587,"Control - Infected"
"600.8169 / 17.42",7.789,0.0091999,2.0362,0.019604,"Infected - Control"
"436.7467 / 9.29",7.7878,0.0092046,2.036,0.019611,"Infected - Control"
"762.3242 / 15.48",7.7868,0.0092086,2.0358,0.019616,"Infected - Control"
"200.9457 / 1.31",7.7838,0.0092204,2.0353,0.019637,"Control - Infected"
"330.2025 / 12.31",7.7836,0.0092213,2.0352,0.019637,"Infected - Control"
"429.7398 / 11.68  M2H2",7.7817,0.0092289,2.0348,0.01965,"Infected - Control"
"479.2033 / 16.47  M-H-",7.7795,0.0092378,2.0344,0.019665,"Infected - Control"
"469.0302 / 16.80",7.7769,0.0092481,2.0339,0.019684,"Infected - Control"
"499.7635 / 14.94  MHK2",7.7755,0.0092538,2.0337,0.019693,"Infected - Control"
"833.3672 / 18.24",7.7717,0.0092692,2.033,0.019722,"Infected - Control"
"485.2706 / 19.97",7.7704,0.0092742,2.0327,0.01973,"Infected - Control"
"387.0248 / 17.42",7.7662,0.0092914,2.0319,0.01976,"Infected - Control"
"462.2152 / 4.12",7.7661,0.0092915,2.0319,0.01976,"Infected - Control"
"755.7965 / 14.11",7.7641,0.0092999,2.0315,0.019774,"Infected - Control"
"678.6487 / 16.43  M3H3",7.76,0.0093165,2.0307,0.019806,"Infected - Control"
"450.5805 / 15.98  M3H3",7.7554,0.0093351,2.0299,0.019843,"Infected - Control"
"793.3367 / 20.97  MNa-2H-",7.7549,0.0093373,2.0298,0.019844,"Infected - Control"
"164.0337 / 14.11",7.7497,0.0093584,2.0288,0.019885,"Control - Infected"
"956.5407 / 11.66",7.7493,0.0093598,2.0287,0.019885,"Infected - Control"
"774.8952 / 20.06",7.7471,0.0093687,2.0283,0.019901,"Infected - Control"
"527.2814 / 18.85",7.7428,0.0093865,2.0275,0.019935,"Infected - Control"
"633.5092 / 27.88",7.7414,0.0093922,2.0272,0.019944,"Control - Infected"
"230.1160 / 4.81  MNa",7.74,0.0093979,2.027,0.019952,"Control - Infected"
"513.3022 / 11.33",7.7396,0.0093996,2.0269,0.019952,"Infected - Control"
"270.1932 / 4.93",7.7394,0.0094004,2.0269,0.019952,"Infected - Control"
"170.0921 / 1.86  MNH4",7.7383,0.009405,2.0266,0.019958,"Control - Infected"
"791.3731 / 17.80",7.7365,0.0094121,2.0263,0.019969,"Infected - Control"
"310.3117 / 24.18  MH",7.7362,0.0094133,2.0263,0.019969,"Control - Infected"
"682.0456 / 13.85  M3H3",7.7354,0.0094165,2.0261,0.019972,"Infected - Control"
"243.8808 / 9.14  M-H-",7.7339,0.0094229,2.0258,0.019983,"Infected - Control"
"459.3268 / 23.21",7.7327,0.0094278,2.0256,0.01999,"Infected - Control"
"582.3363 / 20.57",7.7303,0.0094377,2.0251,0.020005,"Infected - Control"
"360.3236 / 27.82  MNa",7.7302,0.0094382,2.0251,0.020005,"Control - Infected"
"566.7490 / 17.96",7.7288,0.0094437,2.0249,0.020012,"Infected - Control"
"471.2077 / 2.64  MH",7.7286,0.0094445,2.0248,0.020012,"Infected - Control"
"619.2752 / 14.62",7.7273,0.0094501,2.0246,0.020017,"Infected - Control"
"972.4474 / 17.55  MNa-2H-",7.7272,0.0094504,2.0245,0.020017,"Infected - Control"
"616.6151 / 14.95  M3H3",7.727,0.0094513,2.0245,0.020017,"Infected - Control"
"638.8049 / 7.22  M2H2",7.7248,0.0094602,2.0241,0.020032,"Infected - Control"
"557.2925 / 10.86  MFA-H-",7.7228,0.0094684,2.0237,0.020046,"Infected - Control"
"310.0041 / 21.27  M-H-",7.7196,0.0094817,2.0231,0.020071,"Infected - Control"
"302.2079 / 6.78",7.7177,0.0094893,2.0228,0.020084,"Infected - Control"
"321.1323 / 22.05  MTFA-H-",7.7168,0.0094934,2.0226,0.020089,"Control - Infected"
"599.7801 / 15.89  M-2H2-",7.7161,0.0094963,2.0224,0.02009,"Infected - Control"
"735.0365 / 18.81",7.7159,0.0094971,2.0224,0.02009,"Infected - Control"
"848.4144 / 11.63",7.7124,0.0095113,2.0218,0.020113,"Infected - Control"
"429.8970 / 11.63  M3H3",7.7124,0.0095115,2.0218,0.020113,"Infected - Control"
"443.1760 / 11.78",7.7122,0.0095125,2.0217,0.020113,"Infected - Control"
"652.7749 / 19.13  M-2H2-",7.7077,0.0095309,2.0209,0.020148,"Infected - Control"
"770.3004 / 10.68  MNa-2H-",7.707,0.0095336,2.0207,0.020151,"Infected - Control"
"522.2608 / 20.78",7.7053,0.0095411,2.0204,0.020163,"Infected - Control"
"296.2207 / 22.59",7.7009,0.0095593,2.0196,0.020198,"Control - Infected"
"688.3283 / 18.40",7.6993,0.0095659,2.0193,0.020207,"Infected - Control"
"146.9746 / 29.02  MCH3OHH",7.6987,0.0095685,2.0192,0.020207,"Control - Infected"
"427.2190 / 7.93  M-H-",7.6986,0.0095689,2.0191,0.020207,"Infected - Control"
"648.8032 / 17.42",7.6984,0.0095697,2.0191,0.020207,"Infected - Control"
"746.8230 / 14.06  M2H2",7.6962,0.0095786,2.0187,0.02022,"Infected - Control"
"475.2215 / 11.15",7.6962,0.0095788,2.0187,0.02022,"Infected - Control"
"468.5997 / 17.21",7.6923,0.0095951,2.018,0.02025,"Infected - Control"
"555.8006 / 12.13",7.692,0.0095965,2.0179,0.02025,"Infected - Control"
"584.7855 / 15.27  M-2H2-",7.6907,0.0096016,2.0177,0.020258,"Infected - Control"
"229.9022 / 2.33",7.6895,0.0096069,2.0174,0.020265,"Control - Infected"
"141.0185 / 1.65",7.6884,0.0096113,2.0172,0.020271,"Control - Infected"
"930.9616 / 1.13",7.6834,0.0096324,2.0163,0.020312,"Infected - Control"
"825.3747 / 12.81  2MH",7.6741,0.0096715,2.0145,0.020392,"Infected - Control"
"791.3852 / 14.60",7.6733,0.0096748,2.0144,0.020395,"Infected - Control"
"430.3012 / 10.55",7.6705,0.0096868,2.0138,0.020416,"Infected - Control"
"516.2556 / 17.68",7.6702,0.009688,2.0138,0.020416,"Infected - Control"
"174.9933 / 16.74",7.666,0.0097056,2.013,0.02045,"Infected - Control"
"738.3874 / 8.40",7.6656,0.0097077,2.0129,0.020451,"Infected - Control"
"618.3807 / 11.87",7.6639,0.0097148,2.0126,0.020463,"Infected - Control"
"690.9695 / 1.10  MBr-",7.6622,0.0097217,2.0123,0.020474,"Infected - Control"
"406.2368 / 14.44",7.6489,0.0097784,2.0097,0.02059,"Infected - Control"
"520.7189 / 16.61",7.6473,0.0097854,2.0094,0.020601,"Infected - Control"
"382.1938 / 10.30",7.6392,0.0098199,2.0079,0.020668,"Infected - Control"
"745.8507 / 18.57  M-2H2-",7.6388,0.0098216,2.0078,0.020668,"Infected - Control"
"723.3322 / 14.14",7.6387,0.0098222,2.0078,0.020668,"Infected - Control"
"559.3112 / 12.54  M-H-",7.6258,0.0098776,2.0053,0.02078,"Infected - Control"
"300.1922 / 5.07",7.6256,0.0098786,2.0053,0.02078,"Infected - Control"
"547.7628 / 13.44  M2",7.6226,0.0098917,2.0047,0.020804,"Infected - Control"
"225.9244 / 8.58",7.6221,0.0098936,2.0046,0.020805,"Infected - Control"
"543.2766 / 16.37",7.6214,0.0098966,2.0045,0.020808,"Infected - Control"
"185.0924 / 1.59  M-H2O-H-",7.6159,0.0099205,2.0035,0.020854,"Infected - Control"
"381.0099 / 12.14",7.6136,0.0099304,2.003,0.02087,"Infected - Control"
"132.9590 / 12.68",7.6135,0.0099309,2.003,0.02087,"Infected - Control"
"245.0496 / 14.19",7.6122,0.0099368,2.0028,0.020879,"Control - Infected"
"378.2357 / 21.95",7.6114,0.00994,2.0026,0.020882,"Control - Infected"
"896.4694 / 9.41",7.6071,0.0099586,2.0018,0.020918,"Infected - Control"
"545.0174 / 24.04",7.6046,0.0099698,2.0013,0.020937,"Control - Infected"
"259.1190 / 16.35  M-H-",7.6018,0.0099819,2.0008,0.02096,"Control - Infected"
"578.7753 / 16.91  M-2H2-",7.6011,0.009985,2.0007,0.020963,"Infected - Control"
"143.0191 / 6.16",7.5946,0.010013,1.9994,0.021018,"Control - Infected"
"165.0420 / 1.52  MFA-H-",7.5924,0.010023,1.999,0.021034,"Control - Infected"
"274.1036 / 2.30",7.5922,0.010024,1.999,0.021034,"Control - Infected"
"523.0102 / 17.37  M4H4",7.5898,0.010034,1.9985,0.02105,"Infected - Control"
"832.2845 / 13.49",7.5897,0.010035,1.9985,0.02105,"Infected - Control"
"522.2736 / 16.59",7.5889,0.010038,1.9983,0.021054,"Infected - Control"
"658.3685 / 10.96",7.5843,0.010059,1.9975,0.021093,"Infected - Control"
"705.8316 / 15.04",7.5828,0.010065,1.9972,0.021103,"Infected - Control"
"473.9791 / 1.04",7.5819,0.010069,1.997,0.021108,"Control - Infected"
"744.8065 / 14.11  M-2H2-",7.5816,0.010071,1.9969,0.021108,"Infected - Control"
"246.9234 / 1.29",7.5809,0.010074,1.9968,0.021111,"Control - Infected"
"513.3030 / 14.41",7.5802,0.010077,1.9967,0.021113,"Infected - Control"
"723.3419 / 11.04  MNa",7.5736,0.010106,1.9954,0.021171,"Infected - Control"
"796.3706 / 16.47",7.5695,0.010124,1.9947,0.021205,"Infected - Control"
"476.2318 / 10.81",7.5649,0.010144,1.9938,0.021245,"Infected - Control"
"158.9958 / 1.86",7.5631,0.010152,1.9934,0.021254,"Infected - Control"
"330.1662 / 5.99",7.563,0.010153,1.9934,0.021254,"Infected - Control"
"449.2031 / 10.59  MFA-H-",7.5628,0.010154,1.9934,0.021254,"Infected - Control"
"320.0627 / 2.39",7.562,0.010158,1.9932,0.021258,"Control - Infected"
"540.9056 / 13.35  M3H3",7.5581,0.010175,1.9925,0.021291,"Infected - Control"
"410.3446 / 23.15",7.5517,0.010203,1.9913,0.021347,"Infected - Control"
"277.1219 / 2.71",7.5487,0.010217,1.9907,0.021372,"Infected - Control"
"160.1336 / 3.49",7.5453,0.010232,1.99,0.0214,"Infected - Control"
"494.2249 / 16.18",7.539,0.01026,1.9888,0.021456,"Infected - Control"
"506.2854 / 19.52  M2Na2",7.538,0.010265,1.9887,0.021461,"Infected - Control"
"336.1647 / 2.41",7.5354,0.010276,1.9882,0.021483,"Control - Infected"
"305.0993 / 20.75",7.5328,0.010288,1.9877,0.021503,"Infected - Control"
"203.0327 / 13.18",7.5322,0.010291,1.9875,0.021506,"Infected - Control"
"601.2680 / 19.84",7.5237,0.010329,1.9859,0.021582,"Infected - Control"
"414.2346 / 5.45",7.5218,0.010338,1.9856,0.021598,"Infected - Control"
"364.7366 / 15.75",7.5207,0.010343,1.9854,0.021604,"Infected - Control"
"339.0588 / 4.46",7.5203,0.010345,1.9853,0.021604,"Control - Infected"
"124.0465 / 2.09",7.5186,0.010353,1.9849,0.021617,"Control - Infected"
"397.1730 / 3.24",7.518,0.010355,1.9848,0.021619,"Infected - Control"
"483.9403 / 14.77  M3H3",7.5128,0.010379,1.9838,0.021665,"Infected - Control"
"583.2783 / 14.12  M2H2",7.51,0.010392,1.9833,0.021688,"Infected - Control"
"590.2555 / 3.70",7.5071,0.010405,1.9828,0.021712,"Infected - Control"
"246.1818 / 11.45",7.5053,0.010413,1.9824,0.021726,"Infected - Control"
"799.8677 / 18.67  M-2H2-",7.504,0.010419,1.9822,0.021734,"Infected - Control"
"903.4404 / 17.40",7.5029,0.010424,1.982,0.021742,"Infected - Control"
"460.7352 / 18.49",7.5018,0.010429,1.9818,0.021742,"Infected - Control"
"268.9372 / 31.31",7.5018,0.010429,1.9817,0.021742,"Infected - Control"
"475.2874 / 5.13",7.5018,0.010429,1.9817,0.021742,"Infected - Control"
"826.9207 / 11.33",7.5005,0.010435,1.9815,0.02175,"Infected - Control"
"302.1107 / 2.99",7.5002,0.010436,1.9814,0.02175,"Infected - Control"
"457.2773 / 11.89",7.4986,0.010444,1.9811,0.021762,"Infected - Control"
"229.1190 / 6.92  MH",7.4968,0.010452,1.9808,0.021773,"Infected - Control"
"547.1974 / 19.10",7.4966,0.010453,1.9808,0.021773,"Infected - Control"
"736.8314 / 13.31",7.4949,0.010461,1.9804,0.021785,"Infected - Control"
"485.2090 / 10.60",7.4946,0.010462,1.9804,0.021785,"Infected - Control"
"318.1489 / 8.97",7.4941,0.010464,1.9803,0.021786,"Infected - Control"
"831.3854 / 11.43  M-H-",7.4929,0.01047,1.9801,0.021794,"Infected - Control"
"285.1185 / 3.06",7.4922,0.010473,1.9799,0.021798,"Infected - Control"
"279.1338 / 18.33",7.4904,0.010481,1.9796,0.02181,"Infected - Control"
"453.1973 / 8.89",7.4901,0.010483,1.9795,0.02181,"Infected - Control"
"753.4136 / 7.51  M-H-",7.4881,0.010492,1.9791,0.021826,"Infected - Control"
"436.3104 / 24.60",7.486,0.010502,1.9787,0.021843,"Control - Infected"
"334.1766 / 13.33  M-H-",7.475,0.010553,1.9766,0.021945,"Infected - Control"
"514.3245 / 17.48",7.4735,0.01056,1.9764,0.021956,"Infected - Control"
"949.4537 / 14.41",7.4688,0.010582,1.9754,0.021998,"Infected - Control"
"539.2890 / 10.54",7.4581,0.010631,1.9734,0.022095,"Infected - Control"
"212.1024 / 1.86",7.458,0.010632,1.9734,0.022095,"Control - Infected"
"750.5407 / 26.15",7.4559,0.010642,1.973,0.022113,"Infected - Control"
"756.8850 / 15.83",7.4533,0.010654,1.9725,0.022133,"Infected - Control"
"344.0282 / 21.23",7.4531,0.010655,1.9724,0.022133,"Infected - Control"
"767.3480 / 15.97",7.4483,0.010677,1.9715,0.022172,"Infected - Control"
"425.0417 / 1.12  2MNa-2H-",7.4483,0.010677,1.9715,0.022172,"Control - Infected"
"115.0033 / 1.64",7.4461,0.010688,1.9711,0.02219,"Control - Infected"
"491.7570 / 15.86  M2H2",7.4455,0.010691,1.971,0.022192,"Infected - Control"
"894.4266 / 17.53",7.4429,0.010703,1.9705,0.022214,"Infected - Control"
"389.2405 / 1.57",7.4424,0.010705,1.9704,0.022215,"Infected - Control"
"858.4746 / 13.81",7.4375,0.010728,1.9695,0.022259,"Infected - Control"
"435.2657 / 6.36  M2H2",7.4368,0.010732,1.9693,0.022263,"Infected - Control"
"400.6830 / 10.84",7.4314,0.010757,1.9683,0.022312,"Infected - Control"
"430.7474 / 15.75  M2H2",7.428,0.010773,1.9677,0.022342,"Infected - Control"
"762.4151 / 18.39  MNa",7.4257,0.010784,1.9672,0.022361,"Infected - Control"
"919.4165 / 15.42  M-2H2-",7.4216,0.010803,1.9664,0.022398,"Infected - Control"
"145.1048 / 1.84",7.4187,0.010818,1.9659,0.022423,"Control - Infected"
"201.0267 / 8.64",7.4172,0.010824,1.9656,0.022434,"Infected - Control"
"301.1416 / 0.66",7.4168,0.010826,1.9655,0.022434,"Infected - Control"
"197.0678 / 2.26",7.414,0.01084,1.965,0.022458,"Control - Infected"
"492.7470 / 21.15",7.408,0.010868,1.9638,0.022514,"Infected - Control"
"344.0221 / 6.41",7.4074,0.010871,1.9637,0.022516,"Control - Infected"
"820.4170 / 18.39",7.4067,0.010875,1.9636,0.02252,"Infected - Control"
"151.0077 / 1.62",7.4059,0.010879,1.9634,0.022524,"Control - Infected"
"411.2227 / 6.29  MNa",7.4005,0.010905,1.9624,0.022574,"Infected - Control"
"314.2075 / 10.39",7.3981,0.010916,1.9619,0.022594,"Infected - Control"
"521.2766 / 12.15",7.3972,0.01092,1.9618,0.022599,"Infected - Control"
"399.9928 / 22.27",7.3914,0.010948,1.9606,0.022653,"Infected - Control"
"509.2421 / 18.09  M-H2O-H-",7.3911,0.01095,1.9606,0.022653,"Infected - Control"
"496.9576 / 1.13",7.3833,0.010987,1.9591,0.022727,"Infected - Control"
"141.0176 / 4.65",7.3772,0.011017,1.9579,0.022785,"Infected - Control"
"325.2234 / 3.61",7.3741,0.011032,1.9573,0.022813,"Infected - Control"
"660.2773 / 14.44",7.373,0.011038,1.9571,0.02282,"Infected - Control"
"538.7475 / 19.98",7.3716,0.011045,1.9569,0.022831,"Infected - Control"
"440.1460 / 19.04  MNa-2H-",7.3641,0.011081,1.9554,0.022902,"Infected - Control"
"355.1616 / 9.75  M-H2O-H-",7.3635,0.011084,1.9553,0.022905,"Infected - Control"
"661.3285 / 15.23  MNa-2H-",7.3577,0.011112,1.9542,0.022959,"Infected - Control"
"345.9884 / 24.77",7.3552,0.011124,1.9537,0.022981,"Control - Infected"
"553.2996 / 19.28  MH",7.3547,0.011127,1.9536,0.022983,"Infected - Control"
"383.1211 / 2.11  2MNa-2H-",7.3508,0.011146,1.9529,0.023015,"Control - Infected"
"159.0916 / 7.96",7.3508,0.011146,1.9529,0.023015,"Infected - Control"
"415.9868 / 21.56",7.3406,0.011197,1.9509,0.023115,"Infected - Control"
"589.2837 / 7.98  2MH",7.3343,0.011228,1.9497,0.023176,"Infected - Control"
"537.7524 / 10.17",7.3338,0.011231,1.9496,0.023178,"Infected - Control"
"387.2238 / 10.46  M-H-",7.3257,0.011271,1.9481,0.023253,"Infected - Control"
"397.1608 / 5.43",7.3256,0.011271,1.948,0.023253,"Infected - Control"
"409.1718 / 5.44",7.3253,0.011273,1.948,0.023253,"Infected - Control"
"858.3852 / 13.87  2M-H-",7.3249,0.011275,1.9479,0.023253,"Infected - Control"
"540.9839 / 1.06",7.3222,0.011288,1.9474,0.023277,"Infected - Control"
"449.2232 / 17.89",7.3218,0.01129,1.9473,0.023277,"Infected - Control"
"428.1790 / 3.66  M-H-",7.3203,0.011297,1.947,0.023289,"Infected - Control"
"566.7855 / 17.07",7.3193,0.011303,1.9468,0.023297,"Infected - Control"
"152.0712 / 7.35  MH",7.3169,0.011315,1.9464,0.023317,"Infected - Control"
"401.2882 / 4.93",7.3118,0.01134,1.9454,0.023366,"Infected - Control"
"104.9635 / 10.89",7.3108,0.011345,1.9452,0.023372,"Control - Infected"
"848.9618 / 1.07",7.3101,0.011349,1.9451,0.023376,"Infected - Control"
"376.1538 / 6.28",7.3052,0.011373,1.9441,0.023423,"Infected - Control"
"167.0212 / 2.80  M-H-",7.2974,0.011413,1.9426,0.0235,"Control - Infected"
"340.1869 / 13.04  M-H2O-H-",7.2967,0.011416,1.9425,0.023504,"Infected - Control"
"467.2375 / 23.65  M-H-",7.295,0.011425,1.9422,0.023517,"Infected - Control"
"712.3996 / 15.29  M-H-",7.2947,0.011426,1.9421,0.023517,"Infected - Control"
"220.1478 / 21.63  M-H-",7.2915,0.011443,1.9415,0.023546,"Infected - Control"
"599.4290 / 25.06",7.2912,0.011444,1.9414,0.023546,"Control - Infected"
"250.0190 / 21.97",7.2904,0.011448,1.9413,0.02355,"Infected - Control"
"614.8352 / 19.75  M2H2",7.2884,0.011458,1.9409,0.023566,"Infected - Control"
"125.0356 / 5.20",7.2882,0.011459,1.9408,0.023566,"Control - Infected"
"641.2929 / 20.21",7.2863,0.011469,1.9405,0.023582,"Infected - Control"
"360.0113 / 9.00  M-H-",7.2758,0.011522,1.9385,0.023688,"Infected - Control"
"769.3544 / 15.95",7.2712,0.011546,1.9376,0.023732,"Infected - Control"
"233.0709 / 19.77",7.2684,0.01156,1.937,0.023758,"Control - Infected"
"757.4457 / 14.54",7.2636,0.011585,1.9361,0.023805,"Infected - Control"
"569.6476 / 16.09  M3H3",7.2625,0.01159,1.9359,0.023812,"Infected - Control"
"487.2318 / 24.29",7.2616,0.011595,1.9357,0.023818,"Control - Infected"
"673.2323 / 1.62",7.2587,0.01161,1.9352,0.023845,"Control - Infected"
"700.3525 / 14.03",7.2563,0.011622,1.9347,0.023867,"Infected - Control"
"467.2602 / 3.20",7.2528,0.01164,1.934,0.0239,"Infected - Control"
"459.2173 / 19.45  M-H-",7.2521,0.011644,1.9339,0.023904,"Infected - Control"
"232.0618 / 7.49",7.2503,0.011653,1.9335,0.023919,"Infected - Control"
