"","p[1]","p(corr)[1]"
"703.0084 / 27.99",1.1107,0.094478
"703.1887 / 21.62",-4.5624,-0.19616
"703.1889 / 1.56",-134.38,-0.56307
"703.2735 / 19.76  MNa-2H-",-227.62,-0.77677
"703.3209 / 14.66",-116.3,-0.52311
"703.3227 / 17.89",-154.41,-0.58053
"704.3072 / 7.35",-113.33,-0.52706
"704.3089 / 12.73  M-H-",-209.59,-0.72711
"704.3360 / 13.58  M-2H2-",-187.41,-0.67951
"704.3713 / 11.53  MNa-2H-",-196.38,-0.66577
"704.3864 / 17.79",-79.261,-0.38589
"704.8609 / 20.58  M-2H2-",-164.47,-0.62051
"705.2705 / 20.96  MAcO-H-",-45.469,-0.20204
"705.3661 / 9.94",-189.61,-0.69223
"705.8316 / 15.04",-105.38,-0.48101
"705.8567 / 19.59  M-2H2-",-207.22,-0.7208
"706.2708 / 21.02",-102.1,-0.41052
"706.3039 / 20.61",-94.147,-0.38251
"706.3491 / 20.20  M-2H2-",-133.3,-0.51168
"706.3712 / 19.28",-169.26,-0.62118
"706.3786 / 11.48",-220.68,-0.73273
"706.3786 / 9.27  M-H-",-133.45,-0.51277
"707.3046 / 19.57  M-2H2-",-158.73,-0.60903
"707.3349 / 18.05  MNa-2H-",-215.51,-0.6967
"708.2783 / 20.55  MNa-2H-",-144.38,-0.54296
"708.2849 / 13.42",-130.28,-0.56551
"708.3936 / 7.96  M-H2O-H-",-136.86,-0.5835
"709.0208 / 15.99",-11.271,-0.061687
"709.0209 / 26.29",29.1,0.093587
"709.0215 / 1.29",-63.924,-0.61693
"709.0216 / 20.55",-83.175,-0.32106
"709.0217 / 12.87",-73.643,-0.28737
"709.0217 / 15.33",-102.16,-0.40282
"709.0218 / 16.51",-70.743,-0.27741
"709.0220 / 21.69",28.146,0.2018
"709.0224 / 17.70",-80.063,-0.32279
"709.0226 / 24.21",-0.68987,-0.039353
"709.0230 / 27.80",0.38714,0.033055
"709.0231 / 14.73",9.9307,0.037611
"709.0238 / 19.62",2.4664,0.0099497
"709.0238 / 21.18",-16.181,-0.065955
"709.0240 / 18.62",-48.614,-0.1849
"709.0254 / 23.46",2.2951,0.098186
"709.0266 / 25.59",1.7678,0.16417
"709.3193 / 21.15  M-2H2-",-136.65,-0.54201
"709.3324 / 20.46  3M2Na-3H-",-92.728,-0.38619
"709.3563 / 19.68",-144.6,-0.53667
"710.0219 / 25.45",4.084,0.013108
"710.0226 / 27.01",-94.088,-0.32461
"710.3144 / 13.58  MNa-2H-",-200.7,-0.67445
"710.3206 / 23.65",-81.857,-0.4737
"710.3475 / 11.80  M-H-",-133.03,-0.54363
"710.4079 / 18.82",-187.62,-0.64579
"711.2994 / 19.54  M-2H2-",-126.43,-0.48866
"711.3332 / 20.97  MNa-2H-",-185.32,-0.62368
"711.3737 / 12.80",-161.33,-0.57962
"711.4413 / 19.20",-142.19,-0.62038
"712.3261 / 17.83",-212.04,-0.69197
"712.3395 / 8.10  MNa-2H-",-198.91,-0.69027
"712.3996 / 15.29  M-H-",-122.43,-0.48346
"713.2041 / 23.51",9.4408,0.53827
"713.3111 / 9.03",-76.689,-0.3591
"713.3231 / 12.00  MNa-2H-",-135.06,-0.51482
"713.3455 / 9.84  M-H-",-255.37,-0.77039
"713.3564 / 8.80",-176.04,-0.65383
"713.4775 / 21.31",6.4259,0.027335
"714.2741 / 13.26  M-2H2-",-218.13,-0.74544
"714.2747 / 10.26",-133.5,-0.50508
"715.0360 / 28.01",18.115,0.038441
"715.0368 / 8.87",-48.55,-0.18215
"715.0372 / 15.88",-76.122,-0.32332
"715.0380 / 14.53  3M2Na-3H-",33.219,0.12153
"715.0382 / 15.04  3M2Na-3H-",-27.507,-0.10654
"715.0384 / 9.89",-40.874,-0.16528
"715.0388 / 13.93  3M2Na-3H-",69.597,0.23668
"715.0389 / 10.91  3M2Na-3H-",131.98,0.50999
"715.0390 / 10.41  3M2Na-3H-",99.478,0.36935
"715.0395 / 12.24  3M2Na-3H-",-149.32,-0.5918
"715.0397 / 1.33  M-H-",5.9888,0.31485
"715.0399 / 17.43",-32.388,-0.11857
"715.0399 / 26.99",-4.0626,-0.16606
"715.0400 / 20.25  3M2Na-3H-",22.127,0.081844
"715.0403 / 21.36  3M2Na-3H-",19.224,0.14682
"715.0406 / 22.38",-31.652,-0.19921
"715.0408 / 25.25",2.1153,0.16425
"715.0408 / 26.20  3M2Na-3H-",12.386,0.084536
"715.0410 / 18.60",-143.35,-0.47907
"715.0412 / 19.41",42.128,0.16569
"715.0414 / 23.61",8.0525,0.25708
"715.0417 / 16.80",-72.635,-0.26447
"715.4423 / 23.43  MAcO-H-",-16.038,-0.45303
"716.0413 / 23.78",6.9555,0.30935
"716.0420 / 22.84",-0.098035,-0.0027164
"716.0428 / 22.22",-8.341,-0.2619
"716.0429 / 24.93",2.388,0.012873
"716.0433 / 25.79",1.2115,0.098362
"716.0461 / 1.17  M-",3.4828,0.1071
"716.2855 / 12.29  MNa-2H-",-172.27,-0.6176
"716.3563 / 15.04  MNa-2H-",-144.91,-0.5221
"716.3624 / 20.64",-148.43,-0.55857
"716.3663 / 19.46  M-H-",-148.48,-0.60684
"716.8455 / 19.59",-174.19,-0.67428
"717.1286 / 21.53",5.2618,0.33338
"717.3191 / 12.55",-164.49,-0.58802
"717.3201 / 15.11",-163.37,-0.63666
"717.3931 / 13.43",-144.09,-0.64989
"717.8270 / 14.55  M-2H2-",-208.75,-0.72994
"718.2944 / 19.57",-153.38,-0.65037
"718.3048 / 14.73",-196.48,-0.67669
"718.3402 / 14.68  MNa-2H-",-218.99,-0.70872
"719.2210 / 23.51",10.165,0.55743
"719.2986 / 23.24",-7.1511,-0.037758
"719.3233 / 17.35",-159.3,-0.61731
"719.3718 / 17.10  MNa-2H-",-168.99,-0.63849
"719.3736 / 19.00",-205.91,-0.72018
"720.2998 / 19.55",-163.79,-0.64222
"720.3089 / 21.15",-61.072,-0.25931
"720.3193 / 14.25  M-H-",-164.22,-0.63834
"720.3197 / 14.92  M-H-",-154.52,-0.58635
"720.3937 / 13.87",-205.21,-0.72381
"721.2943 / 19.37",-151.04,-0.60777
"721.3031 / 15.74  MTFA-H-",-91.987,-0.44484
"721.3484 / 14.51  M-H2O-H-",-210.05,-0.72876
"722.2641 / 20.62",-99.418,-0.41111
"722.7824 / 12.66",-112.22,-0.50391
"723.2752 / 19.45  MNa-2H-",-196.75,-0.71934
"723.3322 / 14.14",-98.278,-0.44556
"723.3683 / 19.66",-176.5,-0.70488
"723.3775 / 8.73",-196.41,-0.68738
"723.3901 / 14.81  M-2H2-",-75.913,-0.34814
"723.8717 / 19.66",-139.08,-0.59423
"724.2773 / 9.31  MNa-2H-",-51.551,-0.24947
"724.3259 / 18.94  M-2H2-",-233.29,-0.72227
"724.3496 / 7.29  MNa-2H-",-92.589,-0.45773
"724.4117 / 9.15",-153.77,-0.58799
"725.1269 / 22.05",8.4711,0.43006
"725.2649 / 13.30",-187,-0.69246
"725.2839 / 22.11",8.6158,0.35568
"725.3165 / 5.99",-75.909,-0.35861
"725.3296 / 18.98",-183.11,-0.63101
"725.3850 / 18.69",-161.89,-0.58301
"725.4222 / 16.61",-156.6,-0.61517
"726.3298 / 10.83",-209.26,-0.72859
"726.4070 / 7.92  M-H-",-81.1,-0.35641
"726.8163 / 17.38",-125.09,-0.51361
"727.0593 / 1.07",55.488,0.3996
"727.3168 / 3.79",-164.01,-0.59358
"727.4012 / 7.31",-18.705,-0.079001
"728.3603 / 9.27  MNa-2H-",-97.179,-0.42353
"728.3920 / 15.14",-230.59,-0.68352
"728.3935 / 12.05",-87.993,-0.42681
"728.3943 / 5.58",-145.01,-0.55748
"728.4651 / 3.38",-184.88,-0.58698
"728.4708 / 18.59",-71.481,-0.37405
"729.0592 / 1.07",51.169,0.44908
"729.2440 / 22.97",-96.368,-0.49062
"729.2837 / 7.58  2MNa-2H-",-125.76,-0.49381
"729.2928 / 17.71  M-2H2-",-145.44,-0.56108
"729.3917 / 19.54",-260.9,-0.76012
"729.3945 / 18.57",-164.41,-0.65856
"730.4117 / 19.86  M-H-",-267.47,-0.73208
"731.0132 / 1.33  3MKNa-3H-",-9.5991,-0.33405
"731.1495 / 22.05",8.7326,0.4695
"732.2894 / 9.73  M-H-",-150.03,-0.57275
"732.3232 / 16.55  M-2H2-",-218.5,-0.73531
"732.3289 / 11.80  MNa-2H-",-110.66,-0.46878
"732.3352 / 17.38",-121.07,-0.51962
"732.3613 / 19.04",-135.84,-0.54548
"732.3855 / 7.30  M-2H2-",-85.203,-0.40329
"732.3934 / 18.37",-229.11,-0.67346
"732.4279 / 14.57",-250.69,-0.76586
"732.4417 / 15.96",-137.34,-0.52366
"734.1918 / 21.76",8.4227,0.33953
"734.3822 / 15.29  MNa-2H-",-103.42,-0.4577
"734.8602 / 18.54  M-2H2-",-116.89,-0.46853
"735.3169 / 18.94  M-2H2-",-200.75,-0.67408
"735.3270 / 9.84  MNa-2H-",-232.69,-0.76688
"735.3303 / 11.48",-180.1,-0.64918
"735.3515 / 1.82",-191.28,-0.64199
"735.3861 / 11.29",-180.94,-0.66637
"736.3289 / 19.64  M-H-",-189.4,-0.67568
"736.3488 / 18.44",-89.893,-0.42463
"736.3507 / 17.64",-195.47,-0.73022
"736.3514 / 15.01",-164.62,-0.60407
"736.8314 / 13.31",-95.399,-0.42691
"737.3844 / 19.63  M-H-",-187.85,-0.7472
"737.5228 / 21.31",-0.1081,-0.00090942
"738.3488 / 19.46  MNa-2H-",-151.81,-0.62483
"738.3693 / 14.04",-195.96,-0.69597
"738.4160 / 18.42  M-H-",-91.909,-0.39477
"739.3627 / 14.83  M-H-",-162.33,-0.64693
"739.3635 / 18.62",-187.92,-0.66311
"740.3944 / 14.69",-162.5,-0.62784
"740.4221 / 18.39",-140.32,-0.60784
"741.0178 / 1.08  2MNa-2H-",-48.602,-0.48074
"741.2349 / 23.91",3.6013,0.28461
"741.3753 / 20.17",-166.87,-0.60875
"741.8973 / 10.65  M-2H2-",-28.371,-0.14751
"742.2682 / 12.34  MK-2H-",-83.769,-0.42718
"742.3015 / 14.22  MNa-2H-",-128.22,-0.54712
"742.3020 / 14.92  MNa-2H-",-146.62,-0.60662
"742.3674 / 15.19",-146.63,-0.61326
"742.3965 / 19.29",-202.13,-0.72928
"742.8979 / 10.62",-27.17,-0.15308
"743.3138 / 16.55  M-2H2-",-165.13,-0.6072
"743.3316 / 15.23",-102.11,-0.46481
"743.3505 / 22.10",16.406,0.073484
"743.3597 / 18.15",-191.04,-0.68431
"743.4085 / 19.75",-262.93,-0.7439
"743.4640 / 13.11  2M-H-",-97.004,-0.37476
"744.3548 / 11.43",-213.87,-0.73683
"744.4231 / 4.47",-188.34,-0.62153
"744.8065 / 14.11  M-2H2-",-100.44,-0.47034
"745.1626 / 22.44",7.3396,0.42546
"745.3178 / 17.54",-127.62,-0.53726
"745.3374 / 13.03",-167.56,-0.62888
"745.3541 / 19.44  M-H-",-208.58,-0.76031
"745.3833 / 7.75",-58.526,-0.33148
"745.3870 / 17.67",-123,-0.51288
"745.3927 / 9.66",-137.18,-0.54067
"745.4142 / 19.78",-168.02,-0.60921
"745.8507 / 18.57  M-2H2-",-121.13,-0.5073
"745.8629 / 12.47  M-2H2-",-19.053,-0.12652
"746.3083 / 18.94  M-2H2-",-223.64,-0.74537
"746.3319 / 7.29",-87.074,-0.44155
"746.3394 / 13.07",-142.53,-0.59899
"746.4036 / 1.88",-222.55,-0.79009
"747.2544 / 23.92",1.8732,0.13223
"747.3267 / 17.23",-188.15,-0.65879
"747.3712 / 13.45",-157.79,-0.64109
"747.4083 / 11.89",-208.83,-0.71531
"748.3196 / 10.68  M-H-",-183.61,-0.69881
"748.3475 / 7.28",-190.87,-0.61437
"748.3898 / 17.59",-205.3,-0.69092
"749.1940 / 22.62",60.178,0.66199
"749.3993 / 15.30",-153.71,-0.58525
"749.8883 / 16.37  M-2H2-",-27.254,-0.14899
"750.5407 / 26.15",-121.99,-0.48132
"751.3058 / 9.30  M-H-",-38.26,-0.20657
"751.3441 / 16.82",-168.38,-0.64446
"752.3291 / 19.23  M-H-",-214.95,-0.79359
"752.3483 / 13.53",-116.34,-0.51401
"752.3938 / 19.86  MNa-2H-",-244.85,-0.74235
"752.4243 / 15.58",-216.78,-0.74646
"752.8871 / 10.65  M-2H2-",-16.464,-0.099451
"753.0521 / 1.14  2MNa-2H-",55.571,0.46823
"753.2407 / 23.00",-10.795,-0.18987
"753.3301 / 18.69",-150.38,-0.67052
"753.3526 / 10.60",-180.44,-0.66997
"753.3889 / 12.12",-261.35,-0.75981
"753.4136 / 7.51  M-H-",-133.88,-0.49413
"753.4254 / 11.79  M-H-",-253.66,-0.75394
"753.5252 / 24.30  2MNa-2H-",0.76033,0.040086
"754.2719 / 9.70  MNa-2H-",-122.81,-0.52591
"754.3884 / 14.28",-148.34,-0.63701
"754.4099 / 15.61",-161.04,-0.6261
"754.4208 / 8.58",-84.104,-0.42586
"755.0495 / 1.14  M-H-",41.383,0.43782
"755.7965 / 14.11",-98.894,-0.48335
"755.8821 / 15.86  M-2H2-",-81.816,-0.37914
"756.3910 / 10.73  M-H-",-177.6,-0.64193
"756.4256 / 3.32  M-H2O-H-",-77.982,-0.32896
"756.8850 / 15.83",-97.788,-0.45875
"757.2987 / 18.94",-187.77,-0.72527
"757.3136 / 23.58",14.698,0.13569
"757.3609 / 2.51",-122.43,-0.48281
"757.3729 / 10.51",-132.09,-0.49932
"757.4019 / 10.68  M-",-160.02,-0.55944
"757.4457 / 14.54",-99.31,-0.49328
"758.3121 / 19.64  MNa-2H-",-171.86,-0.67796
"758.3868 / 8.87",-121.84,-0.5424
"758.4058 / 15.14  MFA-H-",-182.58,-0.64015
"758.4198 / 11.89",-99.641,-0.44212
"759.1488 / 1.56",-112.34,-0.6159
"759.1743 / 22.76",3.5165,0.23163
"759.3021 / 12.21",-85.527,-0.37589
"759.3664 / 19.67  MNa-2H-",-169.99,-0.68308
"760.3989 / 18.42  MNa-2H-",-140.48,-0.59716
"760.8799 / 16.37  M-2H2-",-53.019,-0.27034
"761.1476 / 1.56",-109.36,-0.54015
"762.3242 / 15.48",-110.53,-0.50321
"763.3470 / 15.89",-139.03,-0.6091
"763.3601 / 13.76",-78.746,-0.35438
"763.3610 / 8.73",-157.84,-0.6112
"763.3874 / 15.89",-67.003,-0.37824
"764.2818 / 14.95",-153.56,-0.66143
"764.2829 / 14.25",-129.23,-0.57193
"764.3379 / 14.76",-147.96,-0.59657
"765.3210 / 17.68",-145.14,-0.58796
"765.4464 / 13.11  2MNa-2H-",-116.1,-0.42331
"766.3401 / 19.97",-225.26,-0.73645
"766.3452 / 19.17  M-H-",-110.59,-0.45576
"766.4480 / 21.76",-71.942,-0.40557
"767.1704 / 23.05",6.8341,0.39
"767.3334 / 19.44  MNa-2H-",-187.57,-0.66974
"767.3480 / 15.97",-91.814,-0.43041
"768.2987 / 20.55  M-H-",-144.28,-0.51844
"768.3692 / 12.50",-54.727,-0.3274
"768.4863 / 9.47",-45.65,-0.26158
"768.9041 / 20.01",-95.444,-0.38717
"769.0284 / 1.13  2MK-2H-",-24.602,-0.33621
"769.0747 / 1.08",12.661,0.13205
"769.1609 / 22.51",-60.279,-0.47745
"769.2021 / 22.27",54.897,0.63253
"769.2650 / 24.34",1.3074,0.10517
"769.2659 / 4.29",-119.22,-0.52627
"770.3004 / 10.68  MNa-2H-",-100.49,-0.45306
"770.3923 / 20.01  M-H-",-198.59,-0.70591
"770.4161 / 12.31  M-H-",-179.42,-0.66125
"771.3537 / 20.97  M-H-",-117.71,-0.42575
"771.4884 / 12.56",-85.565,-0.39427
"772.3242 / 14.50  M-H-",-182.54,-0.69948
"772.3376 / 20.14  M-H-",-240.82,-0.69797
"772.3623 / 8.10",-195.82,-0.63564
"772.3838 / 12.50",-187.79,-0.67598
"772.3963 / 7.49  M-H-",-150.41,-0.57167
"772.4386 / 14.56",-198.45,-0.68232
"772.9732 / 1.13  2MNa-2H-",-83.742,-0.519
"773.1917 / 23.05",5.7419,0.36398
"773.2880 / 9.30  MNa-2H-",-54.216,-0.28995
"773.3317 / 11.26  M-H-",-172.36,-0.60961
"773.3437 / 11.97",-160.22,-0.58653
"773.3784 / 7.09",-198.1,-0.67114
"774.3104 / 19.23  MNa-2H-",-165.97,-0.66176
"774.3819 / 7.12",-161.67,-0.6174
"774.3820 / 14.45",-192.31,-0.67395
"774.4045 / 17.45",-162.83,-0.60149
"774.4356 / 3.74  M-H-",-206.79,-0.61685
"775.0473 / 1.21  M-H-",31.717,0.44651
"775.2826 / 24.30",0.36771,0.032657
"775.2967 / 8.03",-48.25,-0.20797
"775.3242 / 18.85",-149.03,-0.54772
"775.3463 / 18.82  M-2H2-",-174.93,-0.61627
"775.3834 / 16.09  M-H-",-152.01,-0.56422
"775.3955 / 7.51  MNa-2H-",-146.93,-0.55439
"775.4075 / 11.79  MNa-2H-",-183.66,-0.6297
"775.8491 / 16.94",-21.011,-0.10467
"776.0496 / 1.17",31.697,0.44144
"776.2537 / 18.79",-204.88,-0.74233
"776.3158 / 22.88",-61.685,-0.31033
"776.3568 / 6.91",-151.52,-0.59747
"776.3955 / 12.35",-117.24,-0.50705
"776.4193 / 19.43",-142.51,-0.61451
"777.3080 / 10.96",-148.4,-0.58832
"777.8838 / 18.67  M-2H2-",-129.01,-0.49482
"778.1686 / 21.69",-24.124,-0.11122
"778.3769 / 19.04  M-H-",-178.56,-0.65679
"778.4067 / 20.67",-165.09,-0.58301
"778.9914 / 1.14",-124.06,-0.63652
"779.2994 / 15.31",-118.94,-0.54767
"779.3210 / 12.79",-153.46,-0.59727
"779.3444 / 15.67  M-2H2-",-138.09,-0.59151
"779.3556 / 10.51  MTFA-H-",-113.93,-0.50373
"779.3893 / 20.99",-83.665,-0.3213
"779.4194 / 4.98",-82.085,-0.34391
"779.4648 / 23.92",3.4157,0.22152
"779.8166 / 16.76  M-2H2-",-181.19,-0.66332
"780.3612 / 8.37",-115.88,-0.48667
"782.4804 / 14.83",-165.32,-0.57358
"782.4893 / 17.01",-58.827,-0.31433
"783.0282 / 1.29",-14.739,-0.16173
"783.3346 / 21.34",-38.896,-0.19083
"783.3487 / 15.64  M-H2O-H-",-174.68,-0.61577
"783.4374 / 15.70",-172.78,-0.60576
"784.3860 / 19.79",-196.99,-0.66223
"784.4554 / 20.00",-205.25,-0.69981
"785.0050 / 27.23",1.0225,0.11442
"785.0072 / 1.16  2MNa-2H-",-93.311,-0.61855
"785.0083 / 27.93  2MNa-2H-",-0.42726,-0.034262
"785.2771 / 19.76",-159.79,-0.65946
"785.4201 / 20.04",-197.23,-0.73445
"786.4253 / 19.46",-197.29,-0.73605
"787.1262 / 20.87  2MNa-2H-",-4.6083,-0.021517
"787.3834 / 15.77",-136.33,-0.54949
"787.4564 / 18.67",-53.121,-0.2685
"788.3206 / 13.49  M-H-",-196.18,-0.68159
"788.3287 / 19.20  MNa-2H-",-123.75,-0.52895
"788.3595 / 20.03",-191.61,-0.68817
"788.3734 / 16.73",-183.01,-0.66894
"788.8749 / 18.67  M-2H2-",-156.5,-0.63293
"789.3367 / 18.05",-140.44,-0.52017
"789.3796 / 18.08  M-H-",-190.29,-0.68288
"789.3818 / 14.63  M-H-",-225.6,-0.74103
"789.4350 / 7.13",-85.04,-0.39948
"790.2805 / 20.55  MNa-2H-",-189.49,-0.66002
"790.3259 / 13.52  3M2Na-3H-",-152.88,-0.61631
"790.3840 / 14.60",-174.37,-0.6354
"790.8057 / 16.76",-106.46,-0.49101
"790.8568 / 15.55  M-2H2-",-220.14,-0.70089
"791.0247 / 17.50",-11.401,-0.066261
"791.0249 / 1.26  MCl-",-59.807,-0.60134
"791.0256 / 21.16",-13.326,-0.048546
"791.0257 / 23.42",14.653,0.62354
"791.0257 / 25.05",0.79395,0.028573
"791.0259 / 20.30",-73.163,-0.32178
"791.0260 / 22.66",2.3355,0.080685
"791.0272 / 19.66",50.538,0.18443
"791.0272 / 21.86",3.4652,0.11773
"791.0272 / 25.86",1.4143,0.11759
"791.0278 / 27.71",-5.8349,-0.18903
"791.0293 / 24.20",7.9797,0.33458
"791.3360 / 20.46",-150.8,-0.60438
"791.3599 / 15.55",-244.9,-0.77613
"791.3731 / 17.80",-128.6,-0.52352
"791.3852 / 14.60",-115.24,-0.50021
"791.4350 / 13.52",-84.062,-0.30868
"792.3754 / 20.01  MNa-2H-",-198.84,-0.73029
"792.3977 / 12.31  MNa-2H-",-131.65,-0.58295
"793.3367 / 20.97  MNa-2H-",-128.89,-0.46521
"793.4179 / 11.12",-111.23,-0.52245
"793.8715 / 17.45",-169.04,-0.62429
"794.3078 / 14.50  MNa-2H-",-132.41,-0.5577
"794.3197 / 20.14  MNa-2H-",-159.49,-0.53408
"794.3780 / 7.52  MNa-2H-",-130.02,-0.54636
"795.2076 / 23.51",9.8438,0.54306
"795.3170 / 11.26  MNa-2H-",-140.83,-0.56261
"795.3913 / 8.86  M-H-",-164.16,-0.64775
"795.4262 / 17.18",-156.16,-0.5998
"795.4327 / 18.91",-132.62,-0.55578
"795.4370 / 18.17  M-H-",-204.7,-0.65527
"796.2723 / 20.97",80.748,0.2919
"796.3706 / 16.47",-93.915,-0.46883
"797.0416 / 17.79",-114.32,-0.41598
"797.0432 / 1.33  3M-H-",7.4704,0.35032
"797.0434 / 24.21",-2.7715,-0.11742
"797.0436 / 23.36",3.316,0.16579
"797.0440 / 25.16  2MNa-2H-",1.2437,0.090996
"797.0445 / 22.35",-3.1691,-0.1097
"797.0447 / 21.45",59.97,0.34632
"797.0448 / 20.61",-41.444,-0.1871
"797.0448 / 25.89  2MNa-2H-",-4.1803,-0.21281
"797.0449 / 18.55  2MNa-2H-",-136.91,-0.5484
"797.0449 / 19.44",21.515,0.10305
"797.0457 / 27.41",0.24201,0.014189
"797.3646 / 16.09  MNa-2H-",-173.77,-0.66688
"797.9062 / 9.28  M-2H2-",-112.28,-0.45914
"799.3724 / 15.42",-201.57,-0.72391
"799.4292 / 15.71",-192.33,-0.7002
"799.8677 / 18.67  M-2H2-",-115.82,-0.50177
"800.4265 / 11.45",-113.4,-0.5112
"800.4517 / 17.20",-123.07,-0.54798
"801.0304 / 1.07",-43.268,-0.49717
"801.2224 / 23.48",9.2642,0.52701
"801.3011 / 23.24",-12.922,-0.14342
"801.3629 / 15.49  M-H-",-270.66,-0.7564
"801.3783 / 18.96",-158.76,-0.64539
"801.3996 / 3.77  MTFA-H-",-99.469,-0.46113
"802.3745 / 10.84  M-H-",-173.71,-0.6396
"802.3941 / 15.77",-216.6,-0.74348
"802.4319 / 14.25",-119.77,-0.53151
"803.3262 / 10.59  M-H-",-187.35,-0.62106
"803.3707 / 15.46",-203.28,-0.7203
"804.9113 / 19.65  M-2H2-",-180.42,-0.66051
"805.4463 / 13.65  M-H-",-144.79,-0.54928
"806.4019 / 14.47",-144.29,-0.51421
"806.9230 / 19.41",-101.07,-0.45001
"807.4238 / 19.41",-180.07,-0.74098
"808.4621 / 19.33",-134.42,-0.58843
"808.8937 / 9.28",-92.888,-0.40671
"809.4409 / 19.07  M-H-",-265.48,-0.7646
"809.4539 / 21.31",-11.378,-0.077822
"809.4759 / 19.20",-235.28,-0.75832
"810.3026 / 13.52  MNa-2H-",-137.8,-0.5396
"810.4050 / 19.62",-139.11,-0.55477
"811.3257 / 14.41  M-H-",-202.99,-0.67239
"811.3609 / 18.05  MNa-2H-",-99.542,-0.40878
"811.3641 / 14.63  MNa-2H-",-213.38,-0.72925
"811.3950 / 19.56",-189.58,-0.68223
"811.4078 / 13.99  M-H-",-70.107,-0.36871
"811.4449 / 10.79",-195.53,-0.68443
"811.4675 / 17.29",-24.125,-0.1074
"812.4158 / 13.53  M-",-150.35,-0.60748
"812.4627 / 14.51",-76.255,-0.38998
"812.9391 / 17.67  M-2H2-",-105.23,-0.43402
"813.0167 / 1.33  2MK-2H-",-7.8609,-0.26585
"813.1535 / 22.05",10.507,0.52849
"813.3887 / 14.06",-200.81,-0.69834
"813.4223 / 10.33",-154.39,-0.62644
"814.3566 / 20.01",-211.97,-0.7691
"814.3971 / 18.37",-178.99,-0.66326
"814.3984 / 10.80  M-H-",-266.06,-0.81575
"814.4085 / 8.68",-198.37,-0.76078
"814.4449 / 19.77",-295.45,-0.75159
"814.4673 / 9.41",-186.1,-0.64708
"815.4051 / 7.52",-44.741,-0.28969
"815.4161 / 10.90",-216.71,-0.7266
"816.3008 / 20.14  M-H-",-174.82,-0.60622
"816.3861 / 16.50",-103.5,-0.41151
"816.4269 / 19.52",-203.36,-0.74489
"816.4497 / 18.97",-136.03,-0.5098
"816.4512 / 19.80",-257.21,-0.75242
"817.0093 / 1.07",-43.415,-0.35661
"817.2980 / 11.26",-113.18,-0.47445
"817.3708 / 12.71  M-H-",-143.98,-0.5928
"817.3735 / 8.86  MNa-2H-",-165.88,-0.63941
"817.3945 / 15.84  M-H-",-146.91,-0.56896
"817.4190 / 18.20  MNa-2H-",-121.32,-0.49412
"817.4309 / 13.42",-183.07,-0.64493
"818.4189 / 18.69",-142.17,-0.53226
"818.4209 / 18.14  M-H-",-76.546,-0.37945
"818.4449 / 13.05",-149.73,-0.5896
"819.4271 / 17.80  M-",-213.38,-0.66623
"820.4170 / 18.39",-108.72,-0.48331
"820.4187 / 14.71  M-H-",-144.52,-0.5417
"820.4473 / 19.49",-138.88,-0.63427
"821.3993 / 21.52",7.989,0.035795
"821.9090 / 19.70  M-2H2-",-124.43,-0.54613
"823.3442 / 15.49  MNa-2H-",-227.92,-0.71205
"823.3603 / 12.81  M-H-",-81.695,-0.39191
"823.3889 / 14.56",-137.12,-0.52671
"823.9288 / 17.64  M-2H2-",-98.775,-0.45402
"824.3576 / 10.84  MNa-2H-",-163.04,-0.63286
"824.3629 / 12.78  2M-",-108.58,-0.52905
"824.5010 / 9.38",-41.899,-0.26573
"825.3050 / 10.57  MNa-2H-",-147.28,-0.5357
"825.3533 / 22.10",23.664,0.11204
"825.3967 / 14.37",-235.21,-0.77358
"825.4445 / 17.83",-173.44,-0.62586
"826.3332 / 4.24",-187.23,-0.61617
"826.4195 / 11.34  M-2H2-",-156.59,-0.5876
"826.4790 / 16.28",-67.014,-0.32566
"826.9126 / 13.53  M-2H2-",-45.159,-0.21402
"826.9207 / 11.33",-97.496,-0.40391
"827.1614 / 22.45",7.3443,0.40867
"827.3518 / 6.63",-187.54,-0.67821
"827.4298 / 13.65  MNa-2H-",-178.47,-0.63244
"829.2553 / 23.88",1.4716,0.10825
"829.4066 / 3.48",-61.221,-0.31395
"829.4413 / 10.17",-175.6,-0.64874
"829.8479 / 18.18  M-2H2-",-142.3,-0.56369
"83.0244 / 7.52",-70.572,-0.33719
"83.0504 / 6.41",14.616,0.073497
"830.9105 / 19.17  M-2H2-",-132.54,-0.60312
"831.1972 / 22.55",58.942,0.68874
"831.3632 / 13.07",-161.09,-0.61431
"831.3854 / 11.43  M-H-",-83.942,-0.38974
"831.4240 / 19.04  MNa-2H-",-241.05,-0.76453
"832.2845 / 13.49",-117.74,-0.4949
"832.4170 / 3.45",-141.16,-0.54707
"832.8993 / 19.70",-164.5,-0.71102
"832.9828 / 1.08",-76.454,-0.57435
"833.2870 / 13.52",-125.84,-0.55627
"833.3073 / 14.41  MNa-2H-",-167.8,-0.62585
"833.3672 / 18.24",-96.271,-0.47318
"833.4386 / 19.51  M-2H2-",-116.46,-0.46549
"834.4111 / 11.06  M-H-",-149.05,-0.573
"835.0562 / 1.14",50.599,0.4984
"835.3902 / 12.10",-188.14,-0.6665
"835.5297 / 24.30",0.80402,0.042191
"836.3761 / 10.80  MNa-2H-",-227.96,-0.72821
"836.4310 / 19.77  M-H-",-230.74,-0.69591
